LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person
E01000757,1.0031969309462916,1.0038363171355498,1.0012787723785166,0.0,1.0006393861892584,1.0006393861892584,0.0,1.0025575447570332,1.0089514066496164,1.008312020460358
E01000758,1.0027341079972658,1.0,1.0006835269993164,1.001367053998633,0.0,1.0020505809979494,1.0006835269993164,1.0027341079972658,1.0095693779904307,1.01161995898838
E01000759,1.0044331855604813,1.0018999366687777,1.001266624445852,1.0018999366687777,0.0,1.0050664977834072,1.0006333122229258,1.0031665611146294,1.0177327422419253,1.0113996200126663
E01000760,1.0032488628979856,1.0058479532163742,1.003898635477583,1.0012995451591944,1.0012995451591944,1.0077972709551657,1.0012995451591944,1.00909681611436,1.01819363222872,1.0279402209226771
E01000761,1.001934235976789,1.0038684719535784,1.0025789813023855,1.0012894906511929,0.0,1.005157962604771,0.0,1.001934235976789,1.0199871050934881,1.0193423597678917
E01000762,1.0082401412595645,1.003531489111242,1.001765744555621,1.0011771630370807,1.0005885815185402,1.003531489111242,1.0005885815185402,1.007651559741024,1.0105944673337257,1.0147145379635079
E01000763,1.0049157303370786,1.0049157303370786,1.0035112359550562,1.002808988764045,1.0007022471910112,1.0056179775280898,0.0,1.009129213483146,1.0126404494382022,1.014747191011236
E01000764,1.00513698630137,1.0034246575342465,0.0,1.0005707762557077,1.0005707762557077,1.0039954337899544,1.0005707762557077,1.00513698630137,1.0108447488584476,1.0422374429223744
E01000765,1.0082735797021511,1.0099282956425815,1.0055157198014342,1.0022062879205735,1.0011031439602869,1.0143408714837285,1.002757859900717,1.0237175951461666,1.0209597352454496,1.0303364589078874
E01000766,1.0022222222222221,1.0077777777777779,1.0022222222222221,1.001111111111111,1.0,1.0016666666666667,1.0,1.0038888888888888,1.0138888888888888,1.0061111111111112
E01000767,1.00127959053103,1.0025591810620602,1.00127959053103,1.00127959053103,0.0,1.0031989763275753,1.000639795265515,1.0051183621241202,1.016634676903391,1.0191938579654511
E01000768,1.0026737967914439,1.0053475935828877,1.0046791443850267,0.0,1.000668449197861,1.0026737967914439,1.000668449197861,1.0033422459893049,1.018716577540107,1.0193850267379678
E01000769,1.0470588235294118,1.0089965397923875,1.0041522491349482,1.0006920415224914,1.0,1.0256055363321799,1.0006920415224914,1.0339100346020762,1.0145328719723183,1.301038062283737
E01000770,1.0020013342228151,1.0053368912608405,1.0040026684456305,1.0020013342228151,1.0020013342228151,1.010006671114076,1.0013342228152102,1.0106737825216812,1.0133422281521014,1.0220146764509672
E01000771,1.0055309734513274,1.0060840707964602,1.0049778761061947,1.0005530973451326,1.0011061946902655,1.0116150442477876,1.002212389380531,1.0138274336283186,1.0165929203539823,1.0243362831858407
