,Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,lat,lon
160,160,Fernside Road,1500000,House,1934,5,5,5,,London,SW12 8LH,51.4458359,-0.1595465
161,161,Walsingham Place,2250000,House,2605,5,5,5,,London,SW4 9RR,51.45453699999999,-0.1535831
162,162,Englewood Road,1500000,House,2047,4,4,4,,London,SW12 9NZ,51.4527569,-0.1450621
163,163,Streathbourne Road,2150000,House,2850,5,5,5,,London,SW17 8RA,51.4354273,-0.1524399
164,164,Rowfant Road,1595000,House,2555,6,6,6,,London,SW17 7AP,51.4413524,-0.1569351
165,165,Tantallon Road,1565000,House,2088,5,5,5,,London,SW12 8DH,51.4451487,-0.1587394
166,166,Honeybrook Road,1500000,House,2173,5,5,5,,London,SW12 0DL,51.4486881,-0.1425357
167,167,Fenn Mansions,400000,Flat / Apartment,774,2,2,2,20 Love Lane,London,SE18 6GY,51.48859419999999,0.0656754
168,168,New Providence Wharf,415000,Flat / Apartment,525,1,1,1, Canary Wharf,London,E14 9PW,51.5062915,-0.0043787
169,169,Enclave Court,1395000,Penthouse,1230,2,2,2,2 Dallington Street,London,EC1V 0BH,51.524681,-0.1001475
170,170,Fairfax Road,2800000,House,2734,6,6,6, Chiswick,London,W4 1EN,51.49790059999999,-0.2522510000000001
171,171,Redcliffe Gardens,1195000,Flat / Apartment,872,2,2,2,Chelsea,London,SW10 9HA,51.4851343,-0.1861241
172,172,Drayton Court,2750000,Flat / Apartment,1839,4,4,4,Drayton Gardens,London,SW10 9RH,51.4880175,-0.1806801
173,173,Lower Mall,6950000,House,5501,6,6,6,Hammersmith,London,W6 9DJ,51.48993309999999,-0.2318417
174,174,Albert Bridge Road,2750000,House,2675,4,4,4,Battersea,London,SW11 4PX,51.4735385,-0.1633139
175,175,Ridgway,525000,Flat / Apartment,514,2,2,2,Wimbledon,London,SW19 4SX,51.42050949999999,-0.2211452
